Produto,,Unidade,18,19,20,21,22,23,Total,Média,Saldo,Projeç.,
202617,"DRENO SUCCAO 4,8MM 500ML SANFONADO-406887",UNIDADE,1,0,0,0,2,0,3,"0,5",22,,44
202620,EXTENSAO IRRIGACAO CLEARMAT 4 VIAS-407136,UNIDADE,0,0,0,2,0,1,3,"0,5",18,,36
203691,GUIA INTROD SONDA ENDOTRAQ C/CONECT 10FR 700MM-A04A011070,UNIDADE,0,0,0,1,0,0,1,"0,167",13,,"77,984"
203717,SOLUC PREENC INTRA ARTIC SYNOLIS VA 80/160 SER PREENC 4ML,UNIDADE,2,0,0,0,2,0,4,"0,667",31,,"46,498"
203971,CURATIVO ALGINATO CALCIO/SODIO KALTOSTAT 2G-168117,UNIDADE,0,0,0,1,0,0,1,"0,167",26,,"155,969"
204302,"BOBINA PLAST PICOT TRANSP PEBD 0,008 4KG 28X42CM PCT 100 UND",UNIDADE,0,0,5,0,0,0,5,"0,833",77,,"92,404"
Produto,,Unidade,18,19,20,21,22,23,Total,Média,Saldo,Projeç.,
204368,SONDA FOLEY LATEX C/BALAO 3 VIAS 16FR 30ML-F01A101610,UNIDADE,0,0,1,1,-1,0,1,"0,167",18,,"107,978"
204391,"ATADURA CREPE 20CMX1,8M 13F NEVE-791190001100",UNIDADE,0,0,10,0,0,0,10,"1,667",547,,"328,193"
204392,"ATADURA CREPE 30CMX1,8M 13F NEVE-791190001500",UNIDADE,3,0,1,0,3,0,7,"1,167",174,,"149,139"
204394,"ATADURA CREPE 15CMX1,8M 13F NEVE-791190000900",UNIDADE,53,42,53,53,17,18,236,"39,333",1145,,"29,11"
205641,SCALP INTRAVENOSO C/DISP SEG SAFER 23G-315167023,UNIDADE,38,34,49,11,42,10,184,"30,667",5318,,"173,413"
205642,SCALP INTRAVENOSO C/DISP SEG SAFER 21G-315167021,UNIDADE,13,28,45,61,82,40,268,"44,667",1528,,"34,209"
205643,"OCTRIDE 0,10 MG/ML-1 ML AMP EV/SC(OCTREOTIDA) (GELAD)","AMP C/0,1MG",4,3,2,3,4,3,19,"3,167","472,107",,"149,085"
205879,"TANDUO 0,5/0,4 MG CAPS (DUTASTERIDA/TANSULOSINA)",CAPSULA,3,1,1,3,4,3,15,"2,5",160,,64
206395,FRALDA TENA DERMACARE M-012170980808,UNIDADE,0,0,0,1,0,0,1,"0,167",272,,"1631,674"
206396,FRALDA TENA DERMACARE G-012170980815,UNIDADE,2,0,1,0,0,0,3,"0,5",265,,530
206397,FRALDA TENA DERMACARE EG-012170980822,UNIDADE,69,89,59,74,85,49,425,"70,833",5316,,"75,049"
206443,"VOLARE 20 MG/0,2 ML SER SC(ENOXAPARINA)",SERINGA PREENCHIDA,3,4,4,5,5,1,22,"3,667",191,,"52,09"
206467,SERINGA DESCARTAVEL 20ML BICO LUER LOCK S/AG-SS20LM,UNIDADE,-4,25,3,22,18,11,75,"12,5",468,,"37,44"
206834,"SONDA ENDOTRAQUEAL COMPER TIPO BARRIL C/BALAO 6,5MM-010065CB",UNIDADE,1,0,0,0,0,0,1,"0,167",16,,"95,981"
206838,"SONDA ENDOTRAQUEAL COMPER TIPO BARRIL C/BALAO 7,5MM-010075CB",UNIDADE,-4,16,-4,8,0,5,21,"3,5",173,,"49,429"
206839,SONDA ENDOTRAQUEAL COMPER TIPO BARRIL C/BALAO 8MM-010080CB,UNIDADE,-3,10,-2,6,0,-1,10,"1,667",93,,"55,799"
207145,FIO SUTURA ABSORVIVEL PDS II 6-0 75CM C/AGU-PDP127H,UNIDADE,0,0,0,0,0,1,1,"0,167",36,,"215,957"
207907,UNIREZ 10 MG/ML-5ML FR/AMP EV/IV(ROCURONIO),FA C/50MG,9,5,29,7,29,21,100,"16,667",96,,"5,76"
208056,"CERA OSSO WAXBIO 2,5G-WAXBIO25B",UNIDADE,0,0,0,0,0,1,1,"0,167",65,,"389,922"
208075,SOTALOL 160 MG COMP-SANDOZ,COMP C/160MG,0,0,0,0,2,1,3,"0,5",138,,276
208095,PREBICTAL 75 MG CAPS (PREGABALINA) ,CAPS C/75MG,42,41,36,29,34,13,195,"32,5",1049,,"32,277"
208097,SYMDULOR SL 10 MG COMP SL (TROMETAMOL CETOROLACO),COMP C/10MG,0,1,0,0,0,0,1,"0,167",15,,"89,982"
208604,CONJUNTO CATETERIZACAO ARTERIAL 20GA 5CM C/AG-SAC00520PBX ,UNIDADE,2,0,3,4,3,1,13,"2,167",98,,"45,23"
208606,CONJUNTO CATETERIZACAO ARTERIAL 18GA 12CM C/AG-SAC01218PBX,UNIDADE,0,0,0,0,2,0,2,"0,333",59,,"177,018"
208626,FLUCONAZOL 2 MG/ML-100ML BLS SF EV-BEKER,BOLSA C/200MG,2,1,4,3,4,2,16,"2,667",169,,"63,374"
Produto,,Unidade,18,19,20,21,22,23,Total,Média,Saldo,Projeç.,
208627,"DOBUTAMINA 12,5 MG/ML-20ML AMP EV-HYPOFARMA",AMP C/250MG,0,0,1,3,1,4,9,"1,5",110,,"73,333"
208629,"EMBO 2,5 MG COMP REV (APIXABANA) ",COMPRIMIDO,16,14,11,13,23,3,80,"13,333","101,4",,"7,605"
208630,EMBO 5 MG COMP REV (APIXABANA) ,COMPRIMIDO,16,13,11,13,11,8,72,12,"192,2",,"16,017"
208632,QUETIAPINA 100 MG COMP REV-BIOLAB,COMP C/100MG,11,12,11,11,10,9,64,"10,667",160,,15
208633,SULBACTAM/AMPICILINA 1.000/2.000 MG FR/AMP IM/EV-EUGIA,FRASCO/AMPOLA,22,27,23,22,19,14,127,"21,167",507,,"23,953"
208634,SULBACTAM/AMPICILINA 500/1.000 MG FR/AMP EV/IM-EUGIA,FRASCO/AMPOLA,25,42,21,17,15,13,133,"22,167",173,,"7,804"
208637,PIPERACILINA/TAZOBACTAM 4.000/500 MG FR/AMP EV-EUGIA,FRASCO/AMPOLA,0,1,10,8,41,8,68,"11,333",1310,,"115,589"
208823,"VOLARE 40 MG/0,4ML SER SC(ENOXAPARINA)",SERINGA PREENCHIDA,6,24,8,35,5,12,89,"14,833",377,,"25,416"
208824,"VOLARE 60 MG/0,6ML SER SC(ENOXAPARINA)",SERINGA PREENCHIDA,6,6,6,10,6,1,35,"5,833",21,,"3,6"
208826,PANTOPRAZOL 40MG COMP REV ACHE,COMP C/40MG,18,22,19,22,20,11,112,"18,667",979,,"52,446"
208909,DEX 100 MCG/ML-2ML FR/AMP EV(DEXMEDETOMIDINA),FA C/200MCG,16,64,11,38,17,26,172,"28,667",626,,"21,837"
208911,LABREA 5 MG COMP REV(DONEPEZILA) ,COMP C/5MG,6,6,6,6,6,0,30,5,173,,"34,6"
208913,CRISAPINA 5MG COMP REV (OLANZAPINA),COMP C/5MG,3,5,5,5,3,3,24,4,133,,"33,25"
208914,SPOX 500.000 UI FR/AMP EV/IM/IT (POLIMIXINA B),FA C/ 500.000UI,-2,0,0,0,0,5,3,"0,5",362,,724
208915,CRISPRED 20 MG COMP(PREDNISONA) ,COMP C/20MG,19,18,24,13,18,10,102,17,426,,"25,059"
209168,CRISPRED 5 MG COMP(PREDNISONA),COMP C/5MG,0,4,0,3,4,1,12,2,149,,"74,5"
209247,SIMETICONA 40 MG COMP-EMS,COMP C/40MG,24,18,14,4,6,3,69,"11,5",181,,"15,739"
209281,SUPLEMENTO ALIMENTAR NUTRIDRINK COMPACT BAUNILHA 125ML FR,UNIDADE,7,28,7,27,7,5,81,"13,5",15,,"1,111"
209802,CLOREXIDINA ALCOOLICA AZUL 2 %-100 ML FR ALMO TOP-VIC PHARMA,FRASCO,0,0,2,1,0,1,4,"0,667",181,,"271,486"
209890,ACETILCISTEINA 600 MG ENV-EMS,ENV C/600MG,8,5,6,11,24,5,59,"9,833",315,,"32,034"
209916,ELETRODO NEUTRO DUAL REM ADULTO APAISADA-I2510,UNIDADE,3,24,5,21,16,5,74,"12,333",686,,"55,622"
209917,CATETER NASAL OXIGENIO TIPO OCULOS ADULTO 12FR-R01B06011F,UNIDADE,0,0,0,0,2,0,2,"0,333",159,,"477,048"
209988,CATETER INTROCAN SAFETY DEEP ACCESS 20GA-425162101,UNIDADE,0,1,0,0,0,0,1,"0,167",3,,"17,996"
